id,code,name,active,created_at,created_by,updated_at,updated_by
520,PayDocs,"Платежные документы",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
600,Analitics,"Аналитические отчеты",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
601,rep01,"Сводка плана продаж",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
602,rep02,"Анализ продаж",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
603,rep03,"Частота продажи товаров",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
604,rep04,"список товаров с заданной частотностью продажи",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
605,rep05,"Анализ товарных запасов",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
701,SalePlans,"Планы продаж",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
801,ObjLogs,"Журналы значимых событий для объектов системы",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
802,Jobs,"system jobs",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
803,Failed_Jobs,"failed system jobs",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
805,TranslitTypes,"Типы транслитерации",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
806,Translits,"Правила для транслитерации",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
810,ObjMsgs,"Сообщения, связанные с объектами системы",1,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
811,ObjMsg_Rcpts,"Получатели сообщений",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
821,GrpTypes,"Типы групп",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
822,Groups,"Группы (объектов)",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
823,GrpItems,"Состав групп (объектов)",0,"2020-02-01 08:04:33",1,"2020-02-01 08:04:33",1
831,makedocs,"Документы регистрации выполнения операций по заказам",1,"2020-02-04 09:16:28",1,"2020-02-04 09:16:28",1
832,makedocitems,"Состав документов исполнения операций",1,"2020-02-04 09:16:28",1,"2020-02-04 09:16:28",1
