id,sysobjid,doctypeid,active,created_at,created_by,updated_at,updated_by
1,482,271,1,"2026-05-02 02:53:09",1,"2026-05-02 02:53:09",1
2,121,272,1,"2026-05-02 02:56:44",1,"2026-05-02 02:56:44",1
