id,code,name,active,created_at,created_by,updated_at,updated_by
1,fullname,"полное(официальное) название",1,"2021-07-21 08:01:30",1,"2021-07-21 08:01:30",1
2,shortname,"короткое название",1,"2021-07-21 08:01:30",1,"2021-07-21 08:01:30",1
3,altname,псевдоним,1,"2021-07-21 08:01:30",1,"2021-07-21 08:01:30",1
