id,code,name,vatrate,created_at,created_by,updated_at,updated_by
1,ОСНО,"Общая система налогообложения",20,"2019-05-19 00:19:39",1,"2019-05-19 00:19:39",1
2,УСНО,"Упрощенная система налогообложения",-,"2019-05-19 00:19:39",1,"2019-05-19 00:19:39",1
