id,name,descript,active,created_at,created_by,updated_at,updated_by
1,Диспетчер,NULL,1,"2023-07-30 01:06:56",1,"2023-07-30 01:06:56",1
2,"Регистратор первички по ЗП",NULL,1,"2023-07-30 01:12:10",1,"2023-07-30 01:12:10",1
