id,name,descript,active,created_at,created_by,updated_at,updated_by
1,электроэнергия,NULL,1,"2024-10-19 07:16:41",1,"2024-10-19 07:16:41",1
2,вода,NULL,1,"2024-10-19 07:16:41",1,"2024-10-19 07:16:41",1
3,отопление,NULL,1,"2024-10-19 07:16:41",1,"2024-10-19 07:16:41",1
4,охрана,NULL,1,"2024-10-19 07:16:41",1,"2024-10-19 07:16:41",1
5,транспорт,NULL,1,"2024-10-19 07:58:10",1,"2024-10-19 07:58:10",1
6,трудозатраты,NULL,1,"2024-10-22 09:54:42",1,"2024-10-22 09:54:42",1
