id,name,ownorgid,projid,buildobjid,opersum,active,created_at,created_by,updated_at,updated_by
1,"Невельского 1а",15,1,1,-172029.00,1,"2020-08-12 05:00:22",1,"2020-08-12 05:37:44",12
2,"проект МКЖД Невельского 1а",7,1,1,3613.00,1,"2020-08-12 05:38:43",12,"2020-08-12 06:14:44",12
