id,userid,sysfuncid,limsysobjid,limobjid,begdt,enddt,active,reason,created_at,created_by,updated_at,updated_by
1,12,1,NULL,NULL,"2019-04-05 09:38:07",NULL,1,"презентация системы","2021-10-26 23:43:47",0,"2021-10-26 23:43:47",0
4,12,20,NULL,NULL,"2019-04-06 10:51:27",NULL,1,"презентация системы","2021-10-26 23:43:47",0,"2021-10-26 23:43:47",0
5,12,63,NULL,NULL,"2019-04-19 19:17:21","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
94,12,4,NULL,NULL,"2019-04-05 09:38:07","2020-02-26 04:14:17",1,"презентация системы","2021-10-26 23:43:47",0,"2021-10-26 23:43:47",0
104,12,32,NULL,NULL,"2019-05-06 06:01:50","2019-09-28 21:51:16",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
254,12,158,NULL,NULL,"2019-09-28 21:51:17","2019-12-24 09:26:37",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
258,12,145,NULL,NULL,"2019-09-28 21:59:46","2019-12-24 09:26:37",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
292,12,121,NULL,NULL,"2019-12-24 09:26:37",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
293,12,80,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
294,12,72,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
295,12,64,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
296,12,134,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
297,12,60,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
298,12,62,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
299,12,71,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
300,12,73,NULL,NULL,"2019-12-24 09:26:37","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
301,12,70,NULL,NULL,"2019-12-24 09:26:37",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
302,12,22,NULL,NULL,"2019-12-24 09:27:31",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
303,12,21,NULL,NULL,"2019-12-24 09:27:31",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
304,12,23,NULL,NULL,"2019-12-24 09:27:31",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
305,12,65,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
306,12,139,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
307,12,137,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
308,12,138,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
309,12,140,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
310,12,143,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
311,12,141,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
312,12,142,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
313,12,144,NULL,NULL,"2019-12-29 02:51:36",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
314,12,164,NULL,NULL,"2019-12-29 02:51:36","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
315,12,162,NULL,NULL,"2019-12-29 02:51:36","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
316,12,163,NULL,NULL,"2019-12-29 02:51:36","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
317,12,165,NULL,NULL,"2019-12-29 02:51:36","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
318,12,66,NULL,NULL,"2019-12-29 11:54:50",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
319,12,67,NULL,NULL,"2019-12-29 11:54:50",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
320,12,68,NULL,NULL,"2019-12-29 11:54:50",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
321,12,77,NULL,NULL,"2019-12-29 11:54:50",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
322,12,78,NULL,NULL,"2019-12-29 11:54:50",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
323,12,69,NULL,NULL,"2019-12-29 11:54:51",NULL,1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
324,12,188,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
325,12,186,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
326,12,187,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
327,12,189,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
328,12,192,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
329,12,190,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
330,12,191,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
331,12,193,NULL,NULL,"2020-01-09 09:04:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
332,12,158,NULL,NULL,"2020-01-10 06:18:11","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
333,12,159,NULL,NULL,"2020-01-10 06:18:11","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
334,12,61,NULL,NULL,"2020-01-10 06:18:11","2020-02-26 04:14:17",1,NULL,"2021-10-26 23:43:47",1,"2021-10-26 23:43:47",1
335,12,86,NULL,NULL,"2020-01-22 04:05:20","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
336,12,202,NULL,NULL,"2020-01-22 07:31:34",NULL,1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
337,12,203,NULL,NULL,"2020-01-22 07:31:34",NULL,1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
338,12,101,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
339,12,136,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
340,12,100,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
341,12,104,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
342,12,99,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
343,12,102,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
344,12,103,NULL,NULL,"2020-01-23 05:43:51","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
345,12,89,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
346,12,88,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
347,12,87,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
348,12,90,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
349,12,97,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
350,12,96,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
351,12,95,NULL,NULL,"2020-01-23 05:44:38","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
352,12,98,NULL,NULL,"2020-01-23 05:44:39","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
353,12,91,NULL,NULL,"2020-01-23 10:25:48","2020-02-26 04:14:18",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
354,12,204,NULL,NULL,"2020-01-28 02:14:06","2020-02-25 03:10:43",1,NULL,"2021-10-26 23:43:47",12,"2021-10-26 23:43:47",1
355,12,600,NULL,NULL,"2021-10-24 17:00:07","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:00:07",12,"2021-10-24 17:00:07",12
356,12,601,NULL,NULL,"2021-10-24 17:00:07","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:00:07",12,"2021-10-24 17:00:07",12
357,12,602,NULL,NULL,"2021-10-24 17:00:07","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:00:07",12,"2021-10-24 17:00:07",12
358,12,603,NULL,NULL,"2021-10-24 17:00:07","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:00:07",12,"2021-10-24 17:00:07",12
359,12,335,NULL,NULL,"2021-10-24 17:02:25","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:02:25",1,"2021-10-24 17:02:25",12
360,12,24,NULL,NULL,"2021-10-24 17:02:25","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:02:25",12,"2021-10-24 17:02:25",12
361,12,214,NULL,NULL,"2021-10-24 17:07:02","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:07:02",1,"2021-10-24 17:07:02",12
362,12,215,NULL,NULL,"2021-10-24 17:07:02","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:07:02",1,"2021-10-24 17:07:02",12
363,12,216,NULL,NULL,"2021-10-24 17:07:02","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:07:02",1,"2021-10-24 17:07:02",12
372,12,217,NULL,NULL,"2021-10-24 17:15:39","2100-10-24 17:07:02",1,NULL,"2021-10-24 17:15:39",1,"2021-10-24 17:15:39",12
373,12,451,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
374,12,362,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
375,12,291,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
376,12,289,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
377,12,290,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
378,12,292,NULL,NULL,"2021-10-24 18:14:11",NULL,1,NULL,"2021-10-24 08:14:11",12,"2021-10-24 08:14:11",12
379,35,600,NULL,NULL,"2021-10-24 18:49:54",NULL,1,NULL,"2021-10-24 08:49:54",12,"2021-10-24 08:49:54",12
380,35,601,NULL,NULL,"2021-10-24 18:49:54",NULL,1,NULL,"2021-10-24 08:49:54",12,"2021-10-24 08:49:54",12
381,35,602,NULL,NULL,"2021-10-24 18:49:54",NULL,1,NULL,"2021-10-24 08:49:54",12,"2021-10-24 08:49:54",12
382,35,603,NULL,NULL,"2021-10-24 18:49:54",NULL,1,NULL,"2021-10-24 08:49:54",12,"2021-10-24 08:49:54",12
383,36,600,NULL,NULL,"2021-10-24 18:50:11",NULL,1,NULL,"2021-10-24 08:50:11",12,"2021-10-24 08:50:11",12
384,36,601,NULL,NULL,"2021-10-24 18:50:11",NULL,1,NULL,"2021-10-24 08:50:11",12,"2021-10-24 08:50:11",12
385,36,602,NULL,NULL,"2021-10-24 18:50:11",NULL,1,NULL,"2021-10-24 08:50:11",12,"2021-10-24 08:50:11",12
386,36,603,NULL,NULL,"2021-10-24 18:50:11",NULL,1,NULL,"2021-10-24 08:50:11",12,"2021-10-24 08:50:11",12
387,12,246,NULL,NULL,"2021-10-26 08:22:35",NULL,1,NULL,"2021-10-25 22:22:35",12,"2021-10-25 22:22:35",12
388,12,247,NULL,NULL,"2021-10-26 08:22:35",NULL,1,NULL,"2021-10-25 22:22:35",12,"2021-10-25 22:22:35",12
389,12,248,NULL,NULL,"2021-10-26 08:22:35",NULL,1,NULL,"2021-10-25 22:22:35",12,"2021-10-25 22:22:35",12
390,12,249,NULL,NULL,"2021-10-26 08:22:35",NULL,1,NULL,"2021-10-25 22:22:35",12,"2021-10-25 22:22:35",12
391,35,246,NULL,NULL,"2021-10-26 08:22:56",NULL,1,NULL,"2021-10-25 22:22:56",12,"2021-10-25 22:22:56",12
392,35,247,NULL,NULL,"2021-10-26 08:22:56",NULL,1,NULL,"2021-10-25 22:22:56",12,"2021-10-25 22:22:56",12
393,35,248,NULL,NULL,"2021-10-26 08:22:56",NULL,1,NULL,"2021-10-25 22:22:56",12,"2021-10-25 22:22:56",12
394,35,249,NULL,NULL,"2021-10-26 08:22:56",NULL,1,NULL,"2021-10-25 22:22:56",12,"2021-10-25 22:22:56",12
395,35,202,NULL,NULL,"2021-10-26 08:23:51",NULL,1,NULL,"2021-10-25 22:23:51",12,"2021-10-25 22:23:51",12
396,38,77,NULL,NULL,"2021-10-26 08:25:25",NULL,1,NULL,"2021-10-25 22:25:25",12,"2021-10-25 22:25:25",12
397,38,78,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
398,38,68,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
399,38,69,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
400,38,246,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
401,38,247,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
402,38,248,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
403,38,249,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
404,38,202,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
405,38,203,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
406,38,66,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
407,38,67,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
408,38,362,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
409,38,291,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
410,38,289,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
411,38,290,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
412,38,292,NULL,NULL,"2021-10-26 08:25:26",NULL,1,NULL,"2021-10-25 22:25:26",12,"2021-10-25 22:25:26",12
413,38,600,NULL,NULL,"2021-10-26 08:34:08",NULL,1,NULL,"2021-10-25 22:34:08",12,"2021-10-25 22:34:08",12
414,38,601,NULL,NULL,"2021-10-26 08:34:08",NULL,1,NULL,"2021-10-25 22:34:08",12,"2021-10-25 22:34:08",12
415,38,602,NULL,NULL,"2021-10-26 08:34:08",NULL,1,NULL,"2021-10-25 22:34:08",12,"2021-10-25 22:34:08",12
416,38,603,NULL,NULL,"2021-10-26 08:34:08",NULL,1,NULL,"2021-10-25 22:34:08",12,"2021-10-25 22:34:08",12
417,38,604,NULL,NULL,"2021-10-26 08:34:08",NULL,1,NULL,"2021-10-25 22:34:08",12,"2021-10-25 22:34:08",12
418,12,604,NULL,NULL,"2021-10-27 15:12:22",NULL,1,NULL,"2021-10-27 05:12:22",12,"2021-10-27 05:12:22",12
419,31,77,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
