id,parid,code,name,active,ordr,created_at,created_by,updated_at,updated_by
143,105,ri_options,"Опции/варианты номенклатуры",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
144,105,ri_units,"Допустимые ЕИ, и их соотношение",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
151,NULL,contracts,"Договоры с контрагентами",1,991,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
152,151,contract_orgs,"Участники договора",1,992,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
153,151,contract_prices,"Цены контракта на номенклатуру ",1,993,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
201,NULL,Stock,"Учет склада",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
202,NULL,Wrhs,"Справочник складов (wrhs)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
203,NULL,WrhDocTypes,"Типы документов складского учета (wrhDocTypes",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
204,NULL,WrhDocs,"Документы складского учета (wrhDocs)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
205,NULL,WrhDocLst,"состав документов складского учета",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
206,NULL,Wrh_Stocks,"Текущий товарный запас складов",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
208,NULL,org_wrhs,"Склады, обслуживающие клиента",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
209,NULL,wrhdocnums,"Форматы и текущие значения номеров документов по владельцам",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
221,NULL,Delivery,"Модуль Доставка",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
301,NULL,UnitTypes,"Справочник Единиц измерения товаров",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
400,NULL,FiscalSys,"Фискальная подсистема",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
