id,code,sysobjid,name,adminrightid,org_area,active,ordr,created_at,created_by,updated_at,updated_by
398,budget_items.admindelete,877,"Административное удаление ( с дочерними записями)",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
399,equiprqsts.setbdgtacnts,870,"Согласование статей бюджета",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
400,equiprqsts.set_estprices,870,"Оценка стоимости заявки",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
401,posts.read,895,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
402,posts.create,895,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
403,posts.update,895,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
404,posts.delete,895,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
405,posts.admin,895,Библиотекарь,1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
406,org_acnts.read,115,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
407,org_acnts.create,115,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
408,org_acnts.update,115,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
409,org_acnts.delete,115,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
410,orgplnpays.read,901,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
411,orgplnpays.create,901,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
412,orgplnpays.update,901,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
413,orgplnpays.delete,901,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
414,orgplnpays.agr1,901,"Согласование от руководителя",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
415,orgplnpays.agr2,901,"Согласование от фин.служба",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
416,orgplnpays.regpay,901,"Регистрация факта оплаты",1,0,1,255,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
417,orgplnpay_items.read,902,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
418,orgplnpay_items.create,902,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
419,orgplnpay_items.update,902,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
420,orgplnpay_items.delete,902,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
421,pay_categories.read,903,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
422,pay_categories.create,903,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
423,pay_categories.update,903,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
424,pay_categories.delete,903,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
425,mchnrqsts.set_paytype,483,"Указывать тип оплаты: Нал или Б/н",1,0,1,10,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
426,news.read,904,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
427,news.create,904,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
428,news.update,904,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
429,news.delete,904,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
430,newsbands.read,905,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
431,newsbands.create,905,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
432,newsbands.update,905,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
433,newsbands.delete,905,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
434,equiprqst_expenses.read,873,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
435,equiprqst_expenses.create,873,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
436,equiprqst_expenses.update,873,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
437,equiprqst_expenses.delete,873,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
438,orgacnt_sums.read,911,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
439,orgacnt_sums.create,911,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
440,orgacnt_sums.update,911,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
441,orgacnt_sums.delete,911,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
442,invoices.read,915,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
443,invoices.create,915,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
444,invoices.update,915,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
445,invoices.delete,915,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
446,invoices.send2pay,915,"Передать на оплату",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
447,orgacnt_sums.alldates,911,"Доступ к истории",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
448,equiprqsts.like_initiator,870,"Как инициатор",1,0,1,9,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
449,orgacnt_sums.allorgs,911,"Доступ к счетам всех организаций",1,0,1,7,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
450,orgplnpay_items.admindelete,902,"Административное удаление согласованной записи ( но не оплач",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
451,orgstaff.private_acs,121,"доступ к частной информации",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
452,docs.read,921,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
453,docs.create,921,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
454,docs.update,921,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
455,docs.delete,921,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
456,doc_items.read,922,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
457,doc_items.create,922,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
458,doc_items.update,922,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
459,doc_items.delete,922,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
460,docs101.read,931,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
461,docs101.create,931,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
462,docs101.update,931,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
463,docs101.delete,931,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
464,doc101_items.read,932,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
465,doc101_items.create,932,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
466,doc101_items.update,932,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
467,doc101_items.delete,932,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
468,invoices.allorgs,915,"доступ к документам всех организаций",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
469,eritm_m15s.read,883,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
470,eritm_m15s.create,883,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
471,eritm_m15s.update,883,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
472,eritm_m15s.delete,883,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
473,m15docs.read,936,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
474,m15docs.create,936,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
475,m15docs.update,936,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
476,m15docs.delete,936,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
477,buildobj_works.read,938,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
478,buildobj_works.create,938,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
479,buildobj_works.update,938,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
480,buildobj_works.delete,938,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
482,orgplnpay_items.set_funding,902,"Установка признака наличия финансирования",1,0,1,6,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
483,equiprqsts.view_estprice,870,"просмотр сметной стоимости",1,0,1,255,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
484,invoices.allorgs_for_er,915,"просм. записей любой компании, если связ. с заявкой на мат.",1,0,1,7,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
485,mchnrqsts.any_initorg,483,"выбор любого заказчика",1,0,1,11,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
486,equiprqsts.view_stat,870,"просмотр статистики",1,0,1,9,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
487,events.read,951,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
488,events.create,951,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
489,events.update,951,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
490,events.delete,951,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
491,contract_exes.read,154,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
492,contract_exes.create,154,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
493,contract_exes.update,154,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
494,contract_exes.delete,154,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
495,equiprqsts.reg_dlvry,870,"регистрация получения на объекте",1,0,1,12,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
496,equiprqsts.adminbreakwork,870,"прерывание работы закупщика",1,0,1,11,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
497,dlvrydocs.read,933,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
498,dlvrydocs.create,933,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
499,dlvrydocs.update,933,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
500,dlvrydocs.delete,933,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
501,bot_ri_lims.read,971,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
502,bot_ri_lims.create,971,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
503,bot_ri_lims.update,971,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
504,bot_ri_lims.delete,971,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
505,contract_workplans.read,155,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
506,contract_workplans.create,155,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
