id,name,descript,ordr,active,created_at,created_by,updated_at,updated_by
1,отсутствует,NULL,1,1,"2020-07-12 19:04:09",1,"2020-07-12 19:04:09",1
2,есть,NULL,2,1,"2020-07-12 19:04:09",1,"2020-07-12 19:04:09",1
3,подписан,NULL,3,1,"2020-07-12 19:04:09",1,"2020-07-12 19:04:09",1
