id,acl_roleid,sysfuncid,active,created_at,created_by,updated_at,updated_by
1,2,605,1,"2023-07-30 01:19:07",1,"2023-07-30 01:19:07",1
2,2,606,1,"2023-07-30 01:19:07",1,"2023-07-30 01:19:07",1
3,2,607,1,"2023-07-30 01:19:07",1,"2023-07-30 01:19:07",1
4,2,608,1,"2023-07-30 01:19:07",1,"2023-07-30 01:19:07",1
5,2,647,1,"2023-07-30 01:22:23",1,"2023-07-30 01:22:23",1
6,2,651,1,"2023-07-30 01:23:10",1,"2023-07-30 01:23:10",1
7,2,652,1,"2023-07-30 01:23:10",1,"2023-07-30 01:23:10",1
8,2,653,1,"2023-07-30 01:23:10",1,"2023-07-30 01:23:10",1
9,2,654,1,"2023-07-30 01:23:10",1,"2023-07-30 01:23:10",1
