id,code,name,active,created_at,created_by,updated_at,updated_by
1,phone,телефон,1,"2021-12-01 05:48:14",1,"2021-12-01 05:48:14",1
2,email,"электронная почта",1,"2021-12-01 05:48:14",1,"2021-12-01 05:48:14",1
3,website,веб-сайт,1,"2021-12-01 05:48:14",1,"2021-12-01 05:48:14",1
