id,name,active,created_at,created_by,updated_at,updated_by
1,услуга,1,"2020-01-24 05:28:28",1,"2020-01-24 05:28:28",1
2,товар,1,"2020-01-24 05:28:28",1,"2020-01-24 05:28:28",1
