id,extsysid,sysobjid,active,created_at,created_by,updated_at,updated_by
1,5,489,1,"2025-05-31 11:34:08",1,"2025-05-31 11:34:08",1
2,5,105,1,"2025-06-03 03:00:52",1,"2025-06-03 03:00:52",1
