id,src_placeid,src_placename,tgt_placeid,tgt_placename,begdate,enddate,points,active,created_at,created_by,updated_at,updated_by
33,NULL,ВБЩЗ,NULL,"2Я ОЧЕРЕДЬ",2024-01-01,NULL,1.670,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
34,NULL,ВБЩЗ,NULL,ПРОХЛАДНОЕ,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
35,NULL,ТОР,NULL,ЛЕСНАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
36,NULL,ВБЩЗ,NULL,СТАРЦЕВА,2024-01-01,NULL,1.670,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
37,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,ГЛАВНАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
38,NULL,НОВЫЙ,NULL,ТОР,2024-01-01,NULL,1.180,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
39,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,"ПАТРОКЛ ОТВАЛ",2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
40,NULL,ТОР,NULL,ГОГОЛЯ,2024-01-01,NULL,1.820,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
41,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,ДУБОВАЯ,2024-01-01,NULL,1.430,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
42,NULL,ВБЩЗ,NULL,"ПЕРВОМАЙСК ПОРТ",2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
43,NULL,"КОНТЕЙНЕРНЫЙ ТЕРМИНАЛ",NULL,ГОГОЛЯ,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
44,NULL,ВБЩЗ,NULL,МУСОРСКОГО,2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
45,NULL,ВБЩЗ,NULL,МАКОВСКОГО,2024-01-01,NULL,1.250,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
46,NULL,ВБЩЗ,NULL,КИЗЛЯРСКАЯ,2024-01-01,NULL,1.260,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
47,NULL,ВБЩЗ,NULL,"ЗИМА ЮЖНАЯ",2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
48,NULL,ВБЩЗ,NULL,БРИНЕРА,2024-01-01,NULL,1.670,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
49,NULL,ВБЩЗ,NULL,ТОР,2024-01-01,NULL,1.330,1,"2025-04-12 00:23:31",1,"2025-04-12 00:23:31",1
