id,code,name,active,created_at,created_by,updated_at,updated_by
206,Wrh_Stocks,"Текущий товарный запас складов",0,"2020-02-19 08:33:14",1,"2020-02-19 08:33:14",1
208,org_wrhs,"Склады, обслуживающие клиента",0,"2020-02-19 08:33:14",1,"2020-02-19 08:33:14",1
209,wrhdocnums,"Форматы и текущие значения номеров документов по владельцам",0,"2020-02-19 08:33:14",1,"2020-02-19 08:33:14",1
221,Delivery,"Модуль Доставка",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
301,UnitTypes,"Справочник Единиц измерения товаров",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
400,FiscalSys,"Фискальная подсистема",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
402,PayForms,"Справочник форм оплаты",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
404,VATRates,"Справочник ставок НДС",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
406,FiscalDocTypes,"Справочник типов фискальных документов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
408,KKT_Types,"Типы кассовых аппаратов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
422,FR_Servers,"Серверы обслуживания ККТ",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
424,Cash_Boxes,"Кассовые рабочие места",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
426,KKTs,"Кассовые аппараты",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
428,CB_KKTs,"Связь ККТ с кассовыми местами",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
430,KKT_Sessions,"Кассовые смены ККТ",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
442,FiscalDocs,"Список фискальных документов (чеков)",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
444,fsd_Items,"позиции чека",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
446,fsd_PaySums,"оплата чека",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
501,mFinDocs,"Работа с финансовыми (учетными) документами",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
502,FinDocTypes,"Справочник типов фин.документов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
503,FinDocNums,"Источник номеров для фин.документов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
504,FinDocs,"Финансовые (Учетные) документы",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
505,FinDocItems,"Состав документов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
520,PayDocs,"Платежные документы",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
600,Analitics,"Аналитические отчеты",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
601,rep01,"Сводка плана продаж",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
602,rep02,"Анализ продаж",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
603,rep03,"Частота продажи товаров",1,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
604,rep04,"список товаров с заданной частотностью продажи",1,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
605,rep05,"Анализ товарных запасов",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
701,SalePlans,"Планы продаж",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
801,ObjLogs,"Журналы значимых событий для объектов системы",1,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
802,Jobs,"system jobs",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
803,Failed_Jobs,"failed system jobs",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
805,TranslitTypes,"Типы транслитерации",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
806,Translits,"Правила для транслитерации",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
810,ObjMsgs,"Сообщения, связанные с объектами системы",1,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
811,ObjMsg_Rcpts,"Получатели сообщений",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
821,GrpTypes,"Типы групп",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
822,Groups,"Группы (объектов)",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
823,GrpItems,"Состав групп (объектов)",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
831,makedocs,"Документы регистрации выполнения операций по заказам",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
832,makedocitems,"Состав документов исполнения операций",0,"2020-02-19 08:33:08",1,"2020-02-19 08:33:08",1
