id,wrhid,code,name,descript,buildobjid,buildopertypeid,contractid,orgid,bdgtitmsumid,active,created_at,created_by,updated_at,updated_by
1,1,AAA,Основное," / ",NULL,NULL,NULL,NULL,NULL,1,"2022-06-12 09:28:51",12,"2022-06-12 09:28:51",12
2,2,AAA,Основное," / ",NULL,NULL,NULL,NULL,NULL,1,"2024-10-04 09:55:44",12,"2024-10-04 09:55:44",12
