id,code,name,active,created_at,created_by,updated_at,updated_by
1,NULL,Юридический,1,"2021-12-27 11:16:32",1,"2021-12-27 11:16:32",1
2,NULL,Фактический,1,"2021-12-27 11:16:32",1,"2021-12-27 11:16:32",1
3,NULL,Почтовый,1,"2021-12-27 11:16:32",1,"2021-12-27 11:16:32",1
4,NULL,Регистрации,1,"2022-01-14 10:45:19",1,"2022-01-14 10:45:19",1
