id,code,sysobjid,name,active,adminrightid,created_at,created_by,updated_at,updated_by
96,wrhdoctypes.read,203,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
97,wrhdoctypes.update,203,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
98,wrhdoctypes.delete,203,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
99,wrhdocs.create,204,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
100,wrhdocs.read,204,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
101,wrhdocs.update,204,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
102,wrhdocs.delete,204,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
103,wrhdocs.sign,204,"утверждение(проведение) документа",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
104,wrhdocs.unsign,204,"разутверждение документа",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
105,brands.create,104,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
106,brands.read,104,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
107,brands.update,104,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
108,brands.delete,104,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
109,objfiles.create,11,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
110,objfiles.read,11,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
111,objfiles.update,11,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
112,objfiles.delete,11,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
113,unittypes.create,301,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
114,unittypes.read,301,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
115,unittypes.update,301,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
116,unittypes.delete,301,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
117,specinfotypes.create,103,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
118,specinfotypes.read,103,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
119,specinfotypes.update,103,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
120,specinfotypes.delete,103,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
121,orders.admindelete,131,"Административное удаление заказа со всем содержимым",1,9,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
122,translittypes.create,805,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
123,translittypes.read,805,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
124,translittypes.update,805,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
125,translittypes.delete,805,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
126,translits.create,806,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
127,translits.read,806,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
128,translits.update,806,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
129,translits.delete,806,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
