id,name,active,created_at,created_by,updated_at,updated_by
1,наличные,1,"2021-10-23 08:48:46",1,"2021-10-23 08:48:46",1
2,б/нал,1,"2021-10-23 08:48:46",1,"2021-10-23 08:48:46",1
