id,name,descript,active,created_at,created_by,updated_at,updated_by
1,инициатор,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
2,автор,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
3,редактор,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
4,читатель,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
5,регистратор,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
6,участник,NULL,1,"2022-01-18 09:44:06",1,"2022-01-18 09:44:06",1
7,исполнитель,NULL,1,"2022-03-18 11:02:59",1,"2022-03-18 11:02:59",1
8,куратор,NULL,1,"2022-03-18 11:02:59",1,"2022-03-18 11:02:59",1
