id,name,descript,ordr,active,created_at,created_by,updated_at,updated_by
1,офис,"Новости офиса",3,1,"2020-09-03 22:16:37",1,"2020-09-03 22:16:37",1
2,линия,"Новости с производства",1,1,"2020-09-03 22:16:37",1,"2020-09-03 22:16:37",1
7,IT,"Новости цифры",2,1,"2020-09-03 22:16:37",1,"2020-09-03 22:16:37",1
